Reaction Date,Reaction Type,Parent Type,Parent ID
"Feb 12, 2022, 6:27:29 PM",Kudos,Activity,6671544260
"Feb 12, 2022, 8:44:56 PM",Kudos,Activity,6673467809
"Feb 12, 2022, 8:49:53 PM",Kudos,Activity,6673555973
"Feb 12, 2022, 10:31:04 PM",Kudos,Activity,6673940973
"Feb 12, 2022, 10:35:20 PM",Kudos,Activity,6672316553
"Feb 13, 2022, 1:33:06 AM",Kudos,Activity,6674291374
"Feb 13, 2022, 1:33:11 AM",Kudos,Activity,6674281954
"Feb 13, 2022, 1:51:04 AM",Kudos,Activity,6674282124
"Feb 13, 2022, 2:36:47 AM",Kudos,Activity,6674544066
"Feb 13, 2022, 4:10:17 AM",Kudos,Activity,6674706181
"Feb 13, 2022, 11:09:05 PM",Kudos,Activity,6679362608
"Feb 13, 2022, 11:09:06 PM",Kudos,Activity,6679143433
"Feb 13, 2022, 11:09:12 PM",Kudos,Activity,6678763387
"Feb 13, 2022, 11:09:17 PM",Kudos,Activity,6677646522
"Feb 13, 2022, 11:09:19 PM",Kudos,Activity,6677771319
"Feb 13, 2022, 11:09:21 PM",Kudos,Activity,6679693438
"Feb 13, 2022, 11:09:25 PM",Kudos,Activity,6678555010
"Feb 14, 2022, 3:22:31 PM",Kudos,Activity,6673797135
"Feb 14, 2022, 3:22:45 PM",Kudos,Activity,6661661199
"Feb 14, 2022, 7:05:25 PM",Kudos,Activity,6683166118
"Feb 15, 2022, 1:41:56 AM",Kudos,Activity,6684147740
"Feb 15, 2022, 1:42:01 AM",Kudos,Activity,6684190560
"Feb 16, 2022, 11:40:42 AM",Kudos,Activity,6687083866
"Feb 16, 2022, 11:40:49 AM",Kudos,Activity,6688739275
"Feb 16, 2022, 1:04:15 PM",Kudos,Activity,6691582013
"Feb 16, 2022, 1:04:25 PM",Kudos,Activity,6691435285
"Feb 17, 2022, 6:18:10 PM",Kudos,Activity,6696561186
"Feb 17, 2022, 6:18:13 PM",Kudos,Activity,6697700516
"Feb 17, 2022, 6:18:17 PM",Kudos,Activity,6696474077
"Feb 17, 2022, 6:18:20 PM",Kudos,Activity,6696664594
"Feb 17, 2022, 6:18:23 PM",Kudos,Activity,6697756584
"Feb 17, 2022, 6:18:27 PM",Kudos,Activity,6693790049
"Feb 17, 2022, 6:18:30 PM",Kudos,Activity,6693953974
"Feb 17, 2022, 6:18:37 PM",Kudos,Activity,6692183565
"Feb 17, 2022, 6:18:44 PM",Kudos,Activity,6693672049
"Feb 17, 2022, 6:18:46 PM",Kudos,Activity,6692156269
"Feb 17, 2022, 6:18:48 PM",Kudos,Activity,6692155725
"Feb 17, 2022, 6:19:06 PM",Kudos,Activity,6691614754
"Feb 17, 2022, 6:19:09 PM",Kudos,Activity,6691667986
"Feb 18, 2022, 3:39:10 PM",Kudos,Activity,6701755244
"Feb 18, 2022, 3:39:38 PM",Kudos,Activity,6699499847
"Feb 18, 2022, 3:39:40 PM",Kudos,Activity,6699174821
"Feb 18, 2022, 3:39:48 PM",Kudos,Activity,6701299082
"Feb 18, 2022, 3:39:55 PM",Kudos,Activity,6701275843
"Feb 18, 2022, 3:40:01 PM",Kudos,Activity,6699111891
"Feb 19, 2022, 2:38:37 AM",Kudos,Activity,6703126893
"Feb 19, 2022, 2:38:43 AM",Kudos,Activity,6703167201
"Feb 21, 2022, 4:51:23 AM",Kudos,Activity,6712465860
"Feb 21, 2022, 4:51:24 AM",Kudos,Activity,6712478514
"Feb 21, 2022, 4:51:29 AM",Kudos,Activity,6709831679
"Feb 21, 2022, 4:51:35 AM",Kudos,Activity,6708710621
"Feb 23, 2022, 2:04:28 AM",Kudos,Activity,6721232099
"Feb 23, 2022, 2:04:30 AM",Kudos,Activity,6721234250
"Feb 23, 2022, 2:04:38 AM",Kudos,Activity,6718544573
"Feb 23, 2022, 2:07:50 AM",Kudos,Activity,6723823028
"Feb 23, 2022, 2:07:52 AM",Kudos,Activity,6723703317
"Feb 23, 2022, 2:07:56 AM",Kudos,Activity,6722320354
"Feb 23, 2022, 2:07:59 AM",Kudos,Activity,6720649155
"Feb 23, 2022, 2:32:47 PM",Kudos,Activity,6726238378
"Feb 23, 2022, 2:32:56 PM",Kudos,Activity,6726153639
"Feb 23, 2022, 2:33:44 PM",Kudos,Activity,6726514251
"Feb 23, 2022, 2:33:45 PM",Kudos,Activity,6725902433
"Feb 24, 2022, 4:42:28 AM",Kudos,Activity,6728741212
"Feb 24, 2022, 4:42:41 AM",Kudos,Activity,6727815272
"Feb 24, 2022, 4:43:15 AM",Kudos,Activity,6728806444
"Feb 24, 2022, 4:43:20 AM",Kudos,Activity,6729590864
"Feb 24, 2022, 4:43:25 AM",Kudos,Activity,6729722288
"Feb 24, 2022, 4:43:34 AM",Kudos,Activity,6727561642
"Mar 1, 2022, 5:47:28 PM",Kudos,Activity,6755787125
"Mar 1, 2022, 5:47:30 PM",Kudos,Activity,6756122366
"Mar 1, 2022, 5:47:38 PM",Kudos,Activity,6756409321
"Mar 1, 2022, 5:47:41 PM",Kudos,Activity,6755754074
"Mar 1, 2022, 5:47:47 PM",Kudos,Activity,6751210814
"Mar 1, 2022, 5:47:50 PM",Kudos,Activity,6753529606
"Mar 8, 2022, 2:24:49 PM",Kudos,Activity,6791803356
"Mar 8, 2022, 2:24:58 PM",Kudos,Activity,6791757747
"Mar 8, 2022, 2:25:00 PM",Kudos,Activity,6791966152
"Mar 9, 2022, 12:58:02 PM",Kudos,Activity,6795271675
"Mar 9, 2022, 1:20:13 PM",Kudos,Activity,6795036132
"Mar 9, 2022, 1:20:14 PM",Kudos,Activity,6794796297
"Mar 9, 2022, 1:20:19 PM",Kudos,Activity,6796944963
"Mar 9, 2022, 3:07:49 PM",Kudos,Activity,6797417717
"Mar 10, 2022, 1:31:30 PM",Kudos,Activity,6802094198
"Mar 11, 2022, 4:14:42 AM",Kudos,Activity,6804772916
"Mar 11, 2022, 4:14:50 AM",Kudos,Activity,6804791286
"Mar 11, 2022, 4:14:58 AM",Kudos,Activity,6804974952
"Mar 11, 2022, 4:15:06 AM",Kudos,Activity,6802194475
"Mar 11, 2022, 4:15:11 AM",Kudos,Activity,6802325216
"Mar 11, 2022, 4:15:29 AM",Kudos,Activity,6805212242
"Mar 11, 2022, 4:15:32 AM",Kudos,Activity,6803663232
"Mar 11, 2022, 4:15:45 AM",Kudos,Activity,6803716295
"Mar 11, 2022, 4:15:50 AM",Kudos,Activity,6802166809
"Mar 11, 2022, 2:07:37 PM",Kudos,Activity,6807225206
"Mar 11, 2022, 4:43:56 PM",Kudos,Activity,6807691167
"Mar 11, 2022, 8:36:23 PM",Kudos,Activity,6808752741
"Mar 11, 2022, 10:23:59 PM",Kudos,Activity,6809062782
"Mar 11, 2022, 10:24:03 PM",Kudos,Activity,6805116956
"Mar 11, 2022, 10:24:08 PM",Kudos,Activity,6809101083
"Mar 11, 2022, 10:24:17 PM",Kudos,Activity,6808966074
"Mar 11, 2022, 10:24:19 PM",Kudos,Activity,6809115232
"Mar 11, 2022, 10:24:23 PM",Kudos,Activity,6809100238
"Mar 11, 2022, 10:24:26 PM",Kudos,Activity,6809100669
"Mar 11, 2022, 11:37:44 PM",Kudos,Activity,6809415839
"Mar 12, 2022, 3:31:13 PM",Kudos,Activity,6812270918
"Mar 13, 2022, 5:00:41 PM",Kudos,Activity,6818609065
"Mar 13, 2022, 9:20:05 PM",Kudos,Activity,6819283408
"Mar 13, 2022, 9:20:08 PM",Kudos,Activity,6819278462
"Mar 14, 2022, 12:38:45 AM",Kudos,Activity,6819277613
"Mar 14, 2022, 12:38:47 AM",Kudos,Activity,6819391345
"Mar 14, 2022, 12:38:53 AM",Kudos,Activity,6818115056
"Mar 14, 2022, 11:00:39 PM",Kudos,Activity,6824736495
"Mar 14, 2022, 11:00:46 PM",Kudos,Activity,6824860671
"Mar 14, 2022, 11:00:50 PM",Kudos,Activity,6823446286
"Mar 14, 2022, 11:00:54 PM",Kudos,Activity,6824829079
"Mar 14, 2022, 11:00:58 PM",Kudos,Activity,6823925912
"Mar 14, 2022, 11:01:02 PM",Kudos,Activity,6824590284
"Mar 14, 2022, 11:01:04 PM",Kudos,Activity,6821105027
"Mar 15, 2022, 12:09:08 AM",Kudos,Activity,6812929861
"Mar 15, 2022, 3:03:40 PM",Kudos,Activity,6827002529
"Mar 15, 2022, 3:03:43 PM",Kudos,Activity,6827612967
"Mar 15, 2022, 3:03:45 PM",Kudos,Activity,6825829202
"Mar 15, 2022, 8:14:35 PM",Kudos,Activity,6829405909
"Mar 15, 2022, 10:59:29 PM",Kudos,Activity,6830253348
"Mar 15, 2022, 10:59:39 PM",Kudos,Activity,6830259946
"Mar 15, 2022, 10:59:43 PM",Kudos,Activity,6830220897
"Mar 15, 2022, 10:59:50 PM",Kudos,Activity,6830190577
"Mar 16, 2022, 3:13:52 PM",Kudos,Activity,6833109777
"Mar 16, 2022, 3:13:59 PM",Kudos,Activity,6833336777
"Mar 18, 2022, 1:00:15 AM",Kudos,Activity,6840379797
"Mar 18, 2022, 1:00:16 AM",Kudos,Activity,6840649117
