Category,Flagged Type,Flagged ID,Comments,Created At
Bad GPS data,Activity,6507473807,"","Jan 11, 2022, 5:32:38 PM"
Bad GPS data,Activity,8295306611,"","Dec 26, 2022, 10:51:49 PM"
