Promotion Seen,Timestamp
Tdf2022FeedFollow,1657222825
Tdf2022FeedFollow,1657225684
Tdf2022FeedFollow,1657413272
Tdf2022FeedFollow,1657416631
Tdf2022FeedFollow,1657588228
Tdf2022FeedFollow,1657638681
Tdf2022FeedFollow,1657763865
Tdf2022FeedFollow,1657821582
Tdf2022FeedFollow,1657940014
Tdf2022FeedFollow,1658001507
Tdf2022FeedFollow,1658153907
Tdf2022FeedFollow,1658199022
Tdf2022FeedFollow,1658348604
Tdf2022FeedFollow,1658435142
MapsTabDirtFirstTimeExperienceFree,1663115933
OfflineMapsFirstTimeExperience,1663115933
VideoNotificationMonthlySoftLimit,1663502406
VideoNotificationMonthlySoftLimit,1666540779
VideoNotificationHardLimit,1663502406
VideoNotificationHardLimit,1666540779
SettingsStudentPlanNewLabel,1664405073
SettingsStudentPlanNewLabel,1664568497
SettingsStudentPlanNewLabel,1675639100
FollowingFeedDoradoCooldown,1658870138
FollowingFeedDoradoCooldown,1658885190
FollowingFeedDoradoCooldown,1658936361
FollowingFeedDoradoCooldown,1659031531
FollowingFeedDoradoCooldown,1659128261
FollowingFeedDoradoCooldown,1659147038
FollowingFeedDoradoCooldown,1659231300
FollowingFeedDoradoCooldown,1659317351
FollowingFeedDoradoCooldown,1659366508
FollowingFeedDoradoCooldown,1659380161
FollowingFeedDoradoCooldown,1659438011
FollowingFeedDoradoCooldown,1659453414
FollowingFeedDoradoCooldown,1659489922
FollowingFeedDoradoCooldown,1659537509
FollowingFeedDoradoCooldown,1659579179
FollowingFeedDoradoCooldown,1659627531
FollowingFeedDoradoCooldown,1659654582
FollowingFeedDoradoCooldown,1659683147
FollowingFeedDoradoCooldown,1659719024
FollowingFeedDoradoCooldown,1659731258
FollowingFeedDoradoCooldown,1659745392
FollowingFeedDoradoCooldown,1659793786
FollowingFeedDoradoCooldown,1659810506
FollowingFeedDoradoCooldown,1659895168
FollowingFeedDoradoCooldown,1659912297
FollowingFeedDoradoCooldown,1659927718
FollowingFeedDoradoCooldown,1659977774
FollowingFeedDoradoCooldown,1659994278
FollowingFeedDoradoCooldown,1660086727
FollowingFeedDoradoCooldown,1660170324
FollowingFeedDoradoCooldown,1660194727
FollowingFeedDoradoCooldown,1660258320
FollowingFeedDoradoCooldown,1660270441
FollowingFeedDoradoCooldown,1660318008
FollowingFeedDoradoCooldown,1660424788
FollowingFeedDoradoCooldown,1660568396
FollowingFeedDoradoCooldown,1660579572
FollowingFeedDoradoCooldown,1660595096
FollowingFeedDoradoCooldown,1660670637
FollowingFeedDoradoCooldown,1660777521
FollowingFeedDoradoCooldown,1660832870
FollowingFeedDoradoCooldown,1660864536
FollowingFeedDoradoCooldown,1660925853
FollowingFeedDoradoCooldown,1660954018
FollowingFeedDoradoCooldown,1661003839
FollowingFeedDoradoCooldown,1661026666
FollowingFeedDoradoCooldown,1661098103
FollowingFeedDoradoCooldown,1661126243
FollowingFeedDoradoCooldown,1661150948
FollowingFeedDoradoCooldown,1661183670
FollowingFeedDoradoCooldown,1661251694
FollowingFeedDoradoCooldown,1661374513
FollowingFeedDoradoCooldown,1661560792
FollowingFeedDoradoCooldown,1661786619
FollowingFeedDoradoCooldown,1661866176
FollowingFeedDoradoCooldown,1661893562
FollowingFeedDoradoCooldown,1661945226
FollowingFeedDoradoCooldown,1661965790
FollowingFeedDoradoCooldown,1661987356
FollowingFeedDoradoCooldown,1662040519
FollowingFeedDoradoCooldown,1662119966
FollowingFeedDoradoCooldown,1662134022
FollowingFeedDoradoCooldown,1662158284
FollowingFeedDoradoCooldown,1662174754
FollowingFeedDoradoCooldown,1662319776
FollowingFeedDoradoCooldown,1662385137
FollowingFeedDoradoCooldown,1662466580
FollowingFeedDoradoCooldown,1662482978
FollowingFeedDoradoCooldown,1662503630
FollowingFeedDoradoCooldown,1662516874
FollowingFeedDoradoCooldown,1662550387
FollowingFeedDoradoCooldown,1662585545
FollowingFeedDoradoCooldown,1662641625
FollowingFeedDoradoCooldown,1662655116
FollowingFeedDoradoCooldown,1662677346
FollowingFeedDoradoCooldown,1662726487
FollowingFeedDoradoCooldown,1662758408
FollowingFeedDoradoCooldown,1662771980
FollowingFeedDoradoCooldown,1662840906
FollowingFeedDoradoCooldown,1662914376
FollowingFeedDoradoCooldown,1663032741
FollowingFeedDoradoCooldown,1663064155
FollowingFeedDoradoCooldown,1663108788
FollowingFeedDoradoCooldown,1663160683
FollowingFeedDoradoCooldown,1663176382
FollowingFeedDoradoCooldown,1663192889
FollowingFeedDoradoCooldown,1663206158
FollowingFeedDoradoCooldown,1663252726
FollowingFeedDoradoCooldown,1663266709
FollowingFeedDoradoCooldown,1663293861
FollowingFeedDoradoCooldown,1663312182
FollowingFeedDoradoCooldown,1663339065
FollowingFeedDoradoCooldown,1663376939
FollowingFeedDoradoCooldown,1663455808
FollowingFeedDoradoCooldown,1663520870
FollowingFeedDoradoCooldown,1663540429
FollowingFeedDoradoCooldown,1663632022
FollowingFeedDoradoCooldown,1663697990
FollowingFeedDoradoCooldown,1663720421
FollowingFeedDoradoCooldown,1663731324
FollowingFeedDoradoCooldown,1663769061
FollowingFeedDoradoCooldown,1663789315
FollowingFeedDoradoCooldown,1663870787
FollowingFeedDoradoCooldown,1663887092
FollowingFeedDoradoCooldown,1663973613
FollowingFeedDoradoCooldown,1663986541
FollowingFeedDoradoCooldown,1664052441
FollowingFeedDoradoCooldown,1664143342
FollowingFeedDoradoCooldown,1664155415
FollowingFeedDoradoCooldown,1664201282
FollowingFeedDoradoCooldown,1664234655
FollowingFeedDoradoCooldown,1664293469
FollowingFeedDoradoCooldown,1664313503
FollowingFeedDoradoCooldown,1664327070
FollowingFeedDoradoCooldown,1664374150
FollowingFeedDoradoCooldown,1664405017
FollowingFeedDoradoCooldown,1664416056
FollowingFeedDoradoCooldown,1664451282
FollowingFeedDoradoCooldown,1664465666
FollowingFeedDoradoCooldown,1664488372
FollowingFeedDoradoCooldown,1664553862
FollowingFeedDoradoCooldown,1664567615
FollowingFeedDoradoCooldown,1664585019
FollowingFeedDoradoCooldown,1664646679
FollowingFeedDoradoCooldown,1664668647
FollowingFeedDoradoCooldown,1664742969
FollowingFeedDoradoCooldown,1664758480
FollowingFeedDoradoCooldown,1664802984
FollowingFeedDoradoCooldown,1664842526
FollowingFeedDoradoCooldown,1664898705
FollowingFeedDoradoCooldown,1664917025
FollowingFeedDoradoCooldown,1664946897
FollowingFeedDoradoCooldown,1664986945
FollowingFeedDoradoCooldown,1665007901
FollowingFeedDoradoCooldown,1665065392
FollowingFeedDoradoCooldown,1665077652
FollowingFeedDoradoCooldown,1665092521
FollowingFeedDoradoCooldown,1665160795
FollowingFeedDoradoCooldown,1665257475
FollowingFeedDoradoCooldown,1665293216
FollowingFeedDoradoCooldown,1665332047
FollowingFeedDoradoCooldown,1665404919
FollowingFeedDoradoCooldown,1665424100
FollowingFeedDoradoCooldown,1665441213
FollowingFeedDoradoCooldown,1665456560
FollowingFeedDoradoCooldown,1665496371
FollowingFeedDoradoCooldown,1665509013
FollowingFeedDoradoCooldown,1665520661
FollowingFeedDoradoCooldown,1665550176
FollowingFeedDoradoCooldown,1665631250
FollowingFeedDoradoCooldown,1665659029
FollowingFeedDoradoCooldown,1665687059
FollowingFeedDoradoCooldown,1676412685
FollowingFeedDoradoCooldown,1676412686
FollowingFeedDoradoCooldown,1676414497
FollowingFeedDoradoCooldown,1676414498
FollowingFeedDoradoCooldown,1676421746
FollowingFeedDoradoCooldown,1676421857
FollowingFeedDoradoCooldown,1676421858
FollowingFeedDoradoCooldown,1676421859
FollowingFeedDoradoCooldown,1676421860
FollowingFeedDoradoCooldown,1676466736
FollowingFeedDoradoCooldown,1676466737
FollowingFeedDoradoCooldown,1676466749
FollowingFeedDoradoCooldown,1676468279
FollowingFeedDoradoCooldown,1676468280
FollowingFeedDoradoCooldown,1676468856
FollowingFeedDoradoCooldown,1676468857
FollowingFeedDoradoCooldown,1676473201
FollowingFeedDoradoCooldown,1676476518
FollowingFeedDoradoCooldown,1676476519
FollowingFeedDoradoCooldown,1676476520
FollowingFeedDoradoCooldown,1676496979
FollowingFeedDoradoCooldown,1676496981
FollowingFeedDoradoCooldown,1676497030
FollowingFeedDoradoCooldown,1676497031
FollowingFeedDoradoCooldown,1676498335
FollowingFeedDoradoCooldown,1676500555
FollowingFeedDoradoCooldown,1676500560
FollowingFeedDoradoCooldown,1676507227
FollowingFeedDoradoCooldown,1676507228
FollowingFeedDoradoCooldown,1676507232
FollowingFeedDoradoCooldown,1676507254
FollowingFeedDoradoCooldown,1676507255
FollowingFeedDoradoCooldown,1676517383
FollowingFeedDoradoCooldown,1676517384
FollowingFeedDoradoCooldown,1676518561
FollowingFeedDoradoCooldown,1676518564
FollowingFeedDoradoCooldown,1676521996
FollowingFeedDoradoCooldown,1676521997
FollowingFeedDoradoCooldown,1676574696
FollowingFeedDoradoCooldown,1676574697
FollowingFeedDoradoCooldown,1676574698
FollowingFeedDoradoCooldown,1676586754
FollowingFeedDoradoCooldown,1676586758
FollowingFeedDoradoCooldown,1676586759
FollowingFeedDoradoCooldown,1676593033
FollowingFeedDoradoCooldown,1676593034
FollowingFeedDoradoCooldown,1676593046
FollowingFeedDoradoCooldown,1676593047
FollowingFeedDoradoCooldown,1676593077
FollowingFeedDoradoCooldown,1676593079
FollowingFeedDoradoCooldown,1676593080
FollowingFeedDoradoCooldown,1676616129
FollowingFeedDoradoCooldown,1676616144
FollowingFeedDoradoCooldown,1676616145
FollowingFeedDoradoCooldown,1676644461
FollowingFeedDoradoCooldown,1676644462
FollowingFeedDoradoCooldown,1676644465
FollowingFeedDoradoCooldown,1676644483
FollowingFeedDoradoCooldown,1676644888
FollowingFeedDoradoCooldown,1676644889
FollowingFeedDoradoCooldown,1676648602
FollowingFeedDoradoCooldown,1676648603
FollowingFeedDoradoCooldown,1676648604
FollowingFeedDoradoCooldown,1676648607
FollowingFeedDoradoCooldown,1676648680
FollowingFeedDoradoCooldown,1676648681
FollowingFeedDoradoCooldown,1676670645
FollowingFeedDoradoCooldown,1676670646
FollowingFeedDoradoCooldown,1676678253
FollowingFeedDoradoCooldown,1676678254
FollowingFeedDoradoCooldown,1676678257
FollowingFeedDoradoCooldown,1676680707
FollowingFeedDoradoCooldown,1676680708
FollowingFeedDoradoCooldown,1676680715
FollowingFeedDoradoCooldown,1676680716
FollowingFeedDoradoCooldown,1676684962
FollowingFeedDoradoCooldown,1676684970
FollowingFeedDoradoCooldown,1676685371
FollowingFeedDoradoCooldown,1676685372
FollowingFeedDoradoCooldown,1676751546
FollowingFeedDoradoCooldown,1676751547
FollowingFeedDoradoCooldown,1676751550
FollowingFeedDoradoCooldown,1676751551
FollowingFeedDoradoCooldown,1676752743
FollowingFeedDoradoCooldown,1676752745
FollowingFeedDoradoCooldown,1676760773
FollowingFeedDoradoCooldown,1676760774
FollowingFeedDoradoCooldown,1676762925
FollowingFeedDoradoCooldown,1676762926
FollowingFeedDoradoCooldown,1676763868
FollowingFeedDoradoCooldown,1676763869
FollowingFeedDoradoCooldown,1676764734
FollowingFeedDoradoCooldown,1676764735
FollowingFeedDoradoCooldown,1676765341
FollowingFeedDoradoCooldown,1676772614
FollowingFeedDoradoCooldown,1676772615
FollowingFeedDoradoCooldown,1676772616
FollowingFeedDoradoCooldown,1676772617
FollowingFeedDoradoCooldown,1676772645
FollowingFeedDoradoCooldown,1676772646
FollowingFeedDoradoCooldown,1676773521
FollowingFeedDoradoCooldown,1676773522
FollowingFeedDoradoCooldown,1676773540
FollowingFeedDoradoCooldown,1676773541
FollowingFeedDoradoCooldown,1676774425
FollowingFeedDoradoCooldown,1676774426
